label,feature 1,feature 2,feature 3,feature 4,feature 5,feature 6,feature 7,feature 8,feature 9,feature 10,feature 11,feature 12,feature 13,feature 14,feature 15,feature 16
0,0.328805,-0.948844,-1.095591,2.476895,-2.595619,1.647453,1.54487,2.583023,-0.708466,-0.480594,-0.758499,0.024301,-0.321698,1.05718,0.72006,0.566546
0,-0.012903,-0.24125,-0.701478,1.215576,1.330682,-0.193845,1.097168,2.051014,-1.594905,-1.180689,-0.093644,0.924467,-0.579845,-1.429174,-0.478105,0.135636
1,-0.712219,-0.244919,-1.203964,0.946436,-1.654393,0.146066,-0.928359,-0.877461,1.513614,-0.882229,-0.510659,1.134112,-0.348978,0.234243,-0.417036,-0.067742
1,1.834374,-0.927795,0.536295,-0.406993,0.349582,-0.543618,0.19961,0.68337,-0.766137,-0.318209,-1.28654,0.131826,0.414497,-2.429008,-0.277438,-0.930528
1,0.954123,-0.083176,-0.022408,2.935048,-1.170116,1.062096,0.688031,-3.120528,-0.13695,0.278515,-0.898036,-1.546463,-1.107463,-1.243864,-1.065403,2.677028
0,0.691118,0.130249,0.71428,2.883733,-0.136037,-0.122403,0.720696,-0.679945,0.311887,1.179299,-0.925109,0.896656,0.999161,-1.655989,0.977886,-0.850588
1,0.844719,-0.013353,-0.394752,-0.363224,-2.058785,1.487018,0.71838,-1.016037,0.605773,1.007401,1.235716,-0.553299,-0.375018,0.956629,-1.475845,-2.392508
0,-1.829574,1.105456,-0.355634,0.718102,0.756969,1.251065,1.243827,0.679029,-0.323573,-0.591577,-0.376941,0.185249,0.613648,-1.450057,-0.94297,-0.92591
1,-1.07016,-0.856602,0.383529,-4.003383,-0.354841,-0.150615,1.059957,-0.559441,0.349605,-1.956187,1.05048,1.025118,1.766384,4.064234,-0.739117,0.089434
0,1.154232,0.754203,-0.719941,1.141857,0.894544,0.444035,1.369534,0.944378,0.2627,-1.013327,-2.174368,-1.06662,-0.929448,-1.482066,-0.096466,-0.69907
0,0.760624,0.424098,0.091098,1.849705,0.895499,0.389227,1.50109,1.038412,1.108101,2.443441,0.758942,-0.066136,0.116812,-1.124725,1.160715,0.139789
1,-0.452767,-1.704366,0.711897,-0.670072,-1.798765,1.244245,0.329335,-0.567335,0.135725,-1.057337,0.077863,-0.79897,0.098164,0.998766,0.884997,1.831252
1,0.35057,0.137447,-1.455835,0.372053,-0.768292,1.554327,0.594605,-0.462453,-1.491363,-0.100203,0.639653,0.017663,0.502477,-1.563879,0.038783,0.771259
0,0.831153,0.328633,-0.052661,-1.535668,2.115181,0.741038,-0.122245,2.018331,1.222492,0.16938,0.734248,-2.156475,-0.312848,0.857899,-0.380668,-0.355072
0,-0.517333,0.04188,0.788606,0.242588,-0.220763,0.232943,-0.749133,-0.377961,0.85399,0.326651,2.102138,0.000404,0.272043,-1.164911,1.125838,-0.551142
0,0.833489,0.093372,-0.818115,2.262335,-0.670854,1.557923,0.643853,3.265513,-1.182013,1.530923,-0.011037,-1.846777,1.686039,0.129832,-1.034818,-1.423162
1,-0.540231,-0.050598,1.938992,-1.98493,0.419042,1.850626,0.194381,2.219703,-1.081618,-0.330482,1.085876,-0.886725,-1.217038,-2.522534,-0.195546,-0.090503
